,description
7616,"Once hailed as a genius girl, Feng Wu is discarded after falling victim to a plot against her. A modern-day girl enters the world of cultivation in the body of Feng Wu and falls in love with Jun Linyuan."
7617,"Joy is the new maid of a royal house, whose previous maid disappeared under mysterious circumstances and is now haunting and terrorizing the family. Joy works to uncover the reason behind the former maid’s disappearance."
7618,Three young men with disabilities embark on a road trip to a brothel in Montreal catering to people with special needs to lose their virginity and embrace their independence. Inspired by a true story and remake of the Belgian film Hasta La Vista
7619,"A group of young Miskatonic University scientists invent a time machine, only to learn that they are being manipulated by mysterious, unseen forces from another dimension."
7620,"The Women's War was a 1929 revolt in British Nigeria, where a group of women took a stand against social and economic injustice. This historical drama follows the story of these women and their crusade."
7621,A small town video game store clerk must go from zero to hero after accidentally unleashing the forces of evil from a cursed Colecovision game.
7622,A behind-the-scenes look at the New York rare book world.
7623,"A distraught mother suspects her teenage son is a psychopath who may shoot up his high school, but when he outsmarts the mental healthcare system she is forced to take matters into her own hands."
7624,A rabid film fan stalks his favorite action hero and destroys the star's life.
7625,"Orphaned in Africa as a child, Lilly escapes to England as a refugee, fleeing civil war in Ethiopia. Lost in this cold new world, Lilly embraces the immigrant community in London, attempting to reunite people with their scattered families. But as her friend Amina discovers, Lilly's mission isn't purely selfless: a passionate lost love affair is revealed."
7626,"Based on real events. In a densely forested area north of St. Petersburg people have been going missing for three decades. The few corpses ever found were naked. On October 14, 2017 a team of volunteers went out into the woods in search of a missing teenager. Soon, all communication with them was lost. Locals believe they were taken by the same dark spirit that took the others. They call it the Limping Widow."
7627,"Deni Maroon, a musician and dock worker is determined to pull off a music festival against the interests of the local factory owner."
7628,"A cluster of postcard-perfect Acadian fishing villages off the coast of Nova Scotia, Canada made international news in 2013 when Phillip Boudreau, a local man known for poaching lobsters, was killed by fishermen in a crime the media dubbed 'Murder for Lobster.' But as anyone from the community will tell you, it's a lot more complicated than that. People don't just go around killing each other over lobster."
7629,"After getting hired to probe a suspicious death in the small town of Wander, a mentally unstable private investigator becomes convinced the case is linked to the same 'conspiracy cover up' that caused the death of his daughter."
7630,"In The Pale Tourist, Gaffigan boldly goes where no stand-up comedian has gone before: everywhere. The two hour-long specials were filmed as part of Gaffigan's The Pale Tourist worldwide tour, in which he traveled the world--in each country meeting people, eating the food, and learning a bit about the history. He would then transform those experiences into a stand-up set of all-new material and perform it for locals and expatriates, before heading on to another destination and doing it all over again."
7631,A gang of thieves plan a heist during a hurricane and encounter trouble when a disgraced cop tries to force everyone in the building to evacuate.
7632,"When a young woman meets an aspiring saxophonist in her father's record shop in 1950s Harlem, their love ignites a sweeping romance that transcends changing times, geography, and professional success."
7633,"Set in the year 2199, a young woman who has lost everything finds a new life at Earth's Space Training Academy where she learns to defend the galaxy from intergalactic threats."
7634,"During the harrows of WWII, Jo, a young shepherd along with the help of the widow Horcada, helps to smuggle Jewish children across the border from southern France into Spain."
7635,"After years of silence, Ted Bundy’s long-term girlfriend Elizabeth Kendall, her daughter Molly, and other survivors come forward for the first time in a docuseries that reframes Bundy’s crimes from a female perspective. The series reveals how Bundy’s pathological hatred of women collided with the culture wars and the feminist movement of the 1970s in one of the most infamous crime stories of our time."
7636,1840 and another ship crashes on the rocks of an almost deserted island in Scotland. Three sailors survive the wreck and make it to shore where the few locals take them in as they wait for the mainland boat to come for them. But the sailors' survival story has only just started as they uncover the strange past of the once vibrant island.
7637,"A young man cares for his younger sisters after their mother is imprisoned for murdering their abusive father. When he strikes up an affair with a married woman, long-dormant family secrets bubble to the surface."
7638,Pinkfong will be getting a fully animated TV show sometime in 2019 named Pinkfong Wonderstar. The show will feature Pinkfong and his friend Hogi.
7639,Documentary about the life of Harry Chapin.
7640,"Summer of 1945. A temporary orphanage is established in an abandoned palace surrounded by forests for the eight children liberated from the Gross-Rosen camp. Hanka, also a former inmate, becomes their guardian. After the atrocities of the camp, the protagonists slowly begin to regain what is left of their childhood but the horror returns quickly. Camp Alsatians roam the forests around. Released by the SS earlier on, they have gone feral and are starving. Looking for food they besiege the palace. The children are terrified and their camp survival instinct is triggered."
7641,Comedy series featuring a mix of stand-up performances and behind-the-scenes documentary footage of Craig Ferguson's 50-date tour of North America.
7642,"When Eleanor ""Nellie"" Chambers shows up at Crown Lake Academy, a fancy boarding school, she knows this school is her ticket to a new life. She also knows fitting in and learning the ropes won't be easy. Until she finds a guide."
7643,A seemingly perfect romance turns dark when a mother becomes convinced her daughter’s new boyfriend has a sinister connection to her own past.
7644,"Having been saved by Emperor Dong Hua from a vicious monster attack, Princess of Qingqiu, Bai Fengjiu becomes immensely indebted to him. To repay him, Fengjiu follows Donghua around on his adventures to eliminate evil but unwittingly realizes that her feelings of gratitude towards him has turned to romantic. However, after a hundred thousand years of fighting evil, Donghua has long forgotten the meaning of “love"". To protect Fengjiu, Dong Hua sends her to the human world but accidentally causes the death of Fengjiu’s friend. Fengjiu enters the dream of Ah Lan Ruo to search for the fruit that will be able to resurrect her friend. However, Fengjiu ends up getting trapped in the dream. Dong Hua comes to rescue, and realizes he has fallen in love with Fengjiu…"
7645,"Satoh Aya, a temporary office worker who never bad-mouths about others no matter how much she is fooled, is conveniently used in her company as a 'sticky woman'. Such an ordinary office lady ends up meeting Ichijo Kei, the young successor of a large company, who was eager to marry early because of his grandmother, the chairman. The destiny plays with their fates and both meet each other in an unexpected situation which is going to change their destiny."
7646,"This four-part docuseries investigates the events of 1993, where Lorena Bobbitt sliced off her husband's penis after years of abuse. John and Lorena Bobbitt's stories exploded into a 24-hour news cycle. She became a national joke, her suffering ignored by the male-dominated press. But as John spiraled downward, Lorena found strength in the scars of her ordeal."
7647,"A chronicle of the first African American high school rowing team in America made up of young men, many of whom were in rival gangs from the West Side of Chicago, coming together to row in the same boat."
7648,"Medical doctors and mental health professionals go on camera, on the record, for the record, for a discussion, analysis, and science-based examination of the behavior, psyche, condition, and stability of President Donald Trump. Also examines Trump's effect on our citizenry, culture, and institutions."
7649,"Devastated by the First World War and plunged into political controversy, Romania's every hope accompanies its queen on her mission to Paris to lobby for international recognition of its great unification at the 1919 peace talks."
7650,A rescue unit within the Chinese Coast Guard are forced to overcome their personal differences to resolve a crisis.
7651,"An epic journey, faithfully adapted to modern-day. Christian faces distractions, challenges, and perils at every turn of the way. But ends victorious, with helpful guides, as he stays on the narrow path to the distant Celestial City."
7652,"Since birth, a screenwriter finds herself becoming a character in the script of her own creation. However, she is not meant to live past three episodes!

Chen Xiaoqian is a writer who poured blood, sweat and tears into creating a big female-centric drama. What could have started filming smoothly quickly turned south because of actor Han Mingxing's reservations about the script.

Feeling wronged, Chen Xiaoqian vows to prove herself yet she accidentally gets stuck in a parallel world where her story has come to life. Now known as the 3rd princess Chen Qianqian, she is an insignificant side character with a horrid reputation that is not meant to live long in the story. In order to live, she starts on a road to reverse her fate. She also gets caught in between the arrogant and black-bellied prince Han Dong and the practically perfect Pei Heng."
7653,"Atop the ruins of war, top commander Jiang Ziya is given the task to banish the Nine-tailed Fox Demon who threatens all mortals' very existence. When he discovers the Nine-tailed Fox's life linked to the soul of an innocent girl, he is faced with a challenging decision: follow the will of heaven or find his own path to righteousness."
7654,"High school senior Sonya (Ana Golja) is ready to graduate and start college away from her traditional Romani parents, George (Raoul Bhaneja) and Morgan (Rachel Wilson). Fearing Sonya is straying too far from the Romani way of life, George and Morgan are eager to find a husband for her. When George and Morgan's community leader, Ian (Noam Jenkins) suggests Sonya marry his son, Alex (Ehren Kassum), George and Morgan decide to share the news of Sonya's arranged marriage at her 18th birthday party. But their plan quickly backfires when Sonya brings her non-Romani boyfriend, Ray (Eric Osborne), and refuses to marry Alex. Unwilling to be embarrassed by their rebellious daughter, George and Morgan drag Sonya home and lock her in the basement. But when Sonya manages to escape, Ian kidnaps Sonya and holds her hostage until she agrees to marry Alex. Realizing her only hope of survival is to pretend to agree to the arranged marriage, Sonya calls her parents to tell them she will marry Alex. But when Ray finds out, he races to Ian's house to save Sonya before she sacrifices the life she wants forever."
7655,This sharp-witted dramedy studies a middle-aged NYC theatre actress suddenly forced to figure out the kind of person she wants to portray in real life when her marriage comes to an end after she catches her husband cheating.
7656,"After a horrific tragedy, an isolated mother and daughter dealing with grief develop terrifying sleep disruptions that manifest into a sinister reality."
7657,"A 12-year-old tech prodigy, whose science experiment goes awry, forges a telepathic connection with his best friend, Henry-his dog! The duo join forces and use their unique perspectives on life to comically overcome complications of family and school."
7658,"Bobby Stano had everything going for him. Fresh out of high school, he was signed to the majors, had a beautiful girlfriend, everything was looking up. That is, until he and his friends get into a fight with a neighboring gang. The confrontation results in an accidental fatality and quickly changes Bobby's life forever. He's found guilty of murder and locked in prison for the next thirteen years. When Bobby is released, he's faced with a vilified reputation, a relationship to rekindle and a new life to find."
7659,"When a hopelessly romantic high school senior falls for a mysterious new classmate, it sets them both on an unexpected journey that teaches them about love, loss, and most importantly themselves."
7660,"Alexandre lives in Lyon with his wife and children. One day, he discovered by chance that the priest who abused him to scouts always officiates with children. He then starts a fight, quickly joined by François and Emmanuel, also victims of the priest, to ""release their word"" on what they suffered."
7661,"Driven by a constant need to create, Phish frontman Trey Anastasio takes on new projects, including some of his most personal music to date as well as Phish's ambitious New Year's Eve show at Madison Square Garden."
7662,Kuba's sister falls seriously ill. In order to gather the required money for treatment he starts taking part in illegal car races.
7663,"Frances Ferguson, the eponymous character at the center of Bob Byington’s new film, is discontent. Like a lot of us, she does a bit of “acting out” and pays the price —an arrest, a trial, incarceration. And then a new identity, one that’s not terribly comfortable. Nick Offerman narrates this deviant comedy, based on actual events."
7664,"As a strange wave of mysterious drownings of male college students plagues the California coast, Jake struggles to keep his life together at school. Finding himself stalked by a hooded figure driving an unmarked van, Jake fears he may become the next victim in the killer's horrific spree."
7665,"On his first day as a security guard, Diego Martinez is assigned to the night shift at the Hospital Regional. On his rounds, he notices the hallways can be unsettling at night until he accidentally notices he’s trapped inside the morgue."
7666,"An opportunity arises for Robert Atkinson, a London banker who risks his bank's money to leave the mundane behind to start a new life."
7667,A vicious and corrupt small-town sheriff and her deputies brutalise Lisa and leave her for dead in the nearby woods. There she is bitten by a werewolf and bestowed with supernatural abilities. Can Lisa retain her humanity as she exacts revenge and cedes herself more and more to the wolf side of her personality?
7668,"In 1985, American DEA agent Enrique “Kiki” Camarena was kidnapped, tortured, and murdered by Mexico’s most notorious drug lords. Thirty-five years later, three former cartel insiders share unprecedented details. This is the story of Camarena, the drug cartel he infiltrated, and the narc who risked everything to discover the truth."
7669,"The Man In The Hat sets off from Marseilles in a small Fiat 500. On the seat beside him is a framed photograph of an unknown woman. Behind him is a 2CV into which is squeezed Five Bald Men. Why are they chasing him? And how can he shake them off? As he travels North through France, he encounters razeteurs, women with stories to tell, bullfights, plenty of delicious food, a damp man, mechanics, nuns, a convention of Chrystallographers and much more, coming face to face with the vivid eccentricities of an old country."
7670,"Maria Bamford is back and subjectively better than ever! Weakness is her brand, so get ready to feel much better about yourself. This Lady Dynamite explodes onstage (after 2 (two) naps with her husband Scott and 2 old, pillowy dogs). Let her be the poor example from which your greatness can be determined."
7671,"After years of ""manually"" trying to conceive, John and Katie Kelly put their bodies, wallet and marriage through the ringer of modern infertility treatments."
7672,
7673,The head of a small Chilean football club becomes a key player in the 2015 FIFA corruption scandal.
7674,"A Chinese clone of 45th U.S. president, Donald J. Trump, survives the Earth's destruction by escaping his maximum security lab and stowing-away aboard the last Chinese space-bound shuttle. Hundreds of years into the future the human race fights for its survival against Illuminati forces. Following a prophecy, Trump's clone joins forces with the surviving human allies to bring the battle straight to the Illuminati headquarters in hell. But when Donald Trump meets Satan himself, he'll be in for the fight of his life."
7675,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left."
7676,"A doctor finds an unconscious, young woman on a remote island in the North Atlantic. The mystery of the woman’s identity, how she got there, and her ever-increasing psychic abilities, ignite a violent international race to find her — with terrifying results."
7677,"One of the most frightening of American urban myths is the legend of The Mothman, a red-eyed creature seen by some as a harbinger of doom in 1960s rural West Virginia, where sightings of the winged demonic beast were first documented near an old munitions dump known by locals as TNT.  Many believe the Mothman to be a 1960’s phenomenon, an omen only appearing before tragedy, and disappearing after a flap of sightings and the subsequent Silver Bridge collapse in 1967. But what if there’s more? What if the origins of this omen trace back much further and go much deeper than anyone realized? And what if…the sightings never ended?"
7678,"Paloma, the new girl at an esteemed prep school, is drawn into the daily aggressions of warring senior class factions. She joins the Spades and becomes friends with the Spades’ leader, an enigmatic and scheming cheerleader named Selah."
7679,"When the King and Queen are poisoned, brothers Per and Pål get arrested, suspected of being behind it. Younger brother Espen ""Ash Lad"" and Princess Kristin set out on a quest to find the mythical Soria Moria castle, which is said to be built of pure gold. In Soria Moria, there sits a well containing the Water of Life; the only thing that can cure Kristin's parents. But some wicked Danes are also on the hunt to find the castle. If Espen and Kristin fail, it will spell the end for the brothers, the kingdom - and perhaps the entire world."
7680,A woman's panicked decision to cover up an accidental killing spins out of control when her conscience demands she return the dead man's body to his family.
7681,A programmer's mysterious disappearance leads to the reunion of old friends and the discovery that the strange stories she left behind may hold clues to an impending technological crisis.
7682,"A couple on a road trip through America encounter a terrifying dark force older than the country itself. An evil that transforms loved ones into someone terrifying, the entity has left a trail of murdered families going back hundreds of years."
7683,"Since meeting online, Charlotte and Brandon have fudged, re-imagined, and outright lied about their pasts in an attempt to be each other's perfect match. Now that they've said their ""I do's"" they are about to get a funny, hellish, and eye-opening look at just who they've vowed to spend the rest of their lives with. Will familiarity breed contempt... or bliss?"
7684,"The story of a desperate young couple on the run, who seek refuge in Kansas City."
7685,"From Iowa to Studio 54, this investigation into the rags-to-riches story of America’s first superstar designer uncovers the cautionary tale of an artist who sold his name to Wall Street."
7686,"Rocky is the story of a young man whose life changes in extraordinary circumstances beyond his control. Overnight, this ordinary guy turns into a deliverer of vengeance."
7687,"Late in the 10th century, the Liao dynasty is at the zenith of its power. The omnipotent Liao rule much of what is now Northeast China, Mongolia, Russia, and much of the Korean Peninsula. Prime Minister Xiao Si Wen and Princess Yan have three daughters, with the youngest, Xiao Chao, their favourite.  Her heart belongs to the aspiring military commander, Han De Rang, whose family have served the Liao loyally for decades. However, her parents have other plans, sucessfully arranging her marriage to  Liao Emperor, Jin Zhong, whom she eventually concedes to marry.  As the Emperor’s queen, she becomes a fierce defender of the Liao by assisting in mobilizing the army, heading a 10,000-strong cavalry and providing support to the civil administration. Eventually, she will earn the title of Empress."
7688,"CIA agents Palmer and Gagano are tasked with the perilous mission of destroying “The Soviet Union!"" As they enter the system using a VR simulation, their mission quickly turns into a delirious trap, far more complex than expected, as the fabric of reality starts unraveling around them. A cornucopia of stylistic influences, virtuosic cinematic techniques, and set design (ranging from stop-motion animation to stylized live-action), Llanso’s latest blends inter-dimensional intrigue, spy-fi, kung-fu, and Philip K. Dick-esque mind-melting weirdness to achieve truly unclassifiable results."
7689,A fly-on-the-wall inside look at the goings-on of Tottenham Hotspur during the 2019-20 football season.
7690,"It's been a long time since Caine, Bronson, Angus and Wendell—aka ‘The Chain Breakers'—escaped a torturous Vietnamese POW camp. They now find themselves sharing a new prison, The Hogan Hills Retirement Home for Returned Veterans. Each of the boys has an unrealised dream they want to achieve, so they band together to devise a plan to escape their new hell. But the rules of engagement have changed. In fact, they can’t even remember what they were—and that’s half the problem."
7691,"An Irish undertaker profits when outlaws take over a peaceful town, but his own family come under threat as the death toll increases dramatically."
7692,"An anarchic, hip-hop inspired comedy that follows four city boys on a wilderness trek as they try to escape a mysterious huntsman."
7693,Classic SpongeBob SquarePants episodes are dramatically told in the style of popular documentary and news magazine formats.
7694,A visit to a wealthy and reclusive friend lands a young man in a world of fear and despair.
7695,"Jason wants to be taken more seriously as an actor, so he asks his friend Kevin Smith for advice, and decides to become a method actor. Trouble is, being a method actor drives him mad and he slowly becomes a serial killer."
7696,"May 1960. Mount Everest, the second step under the cliff. The four members of the China Everest Climbing Commando are attacking the most difficult and most difficult ""second step"". This is their fifth assault. The first four failures have cost them too much physical strength - ...finally, the wind and snow stop the gap."
7697,"Hoping to reconnect with his college buddy, a 30-something businessman drags him along on a road trip."
7698,"Isabelle, a geneticist recovering from a toxic marriage, is raising her only daughter, Zoe, with her contentious ex-husband. Zoe means everything to her mother and so when tragedy strikes the fractured family, Isabelle travels to Russia in seeking the help of a world-renowned fertility physician who Isabelle believes can help bring back her little girl."
7699,"Early 1980's, the only family toddler Luke knew were the strippers, bouncers, and outcasts that called OKC's rowdiest strip club home."
7700,"A listless grand-daughter, Chance Sinclair, is sentenced to live with her draconian grand-father, August after a violent incident at school and begins to question the source of her families immense wealth and power. When Chance's scheming Mom, June hires a troubled chef Sydney to poison August, the family's monstrous secrets are revealed over the course of one bloody night. Every soul is up for grabs as The Sinclair Family Games Night gets underway and Chance learns that being a part of this family is a blood-in, blood-out proposition."
7701,"One successful writer, one eccentric Wall Streeter, one feeling ex con turned businessman, a witty literary agent and a sensitive woman - all of a certain age and then some -- try to figure out this thing called love."
7702,
7703,A young punk and a houseful of drunks square off against the gang of militant straight edgers that he's abandoned.
7704,"It’s the story of a woman who, after being unceremoniously dumped on her 39th birthday, faces her fear of becoming a pathetic, lonely spinster."
7705,"The story of two wedding planners in Delhi, where tradition jostles with modern aspirations against the backdrop of big fat Indian weddings revealing many secrets and lies."
7706,"Kicked out of their home, a young girl and her blind young brother go searching for hope on the mean streets. A story about love and overcoming difficulties."
7707,"The story of how the Guardia Civil, a militarized police force, fought for nearly half a century against ETA, a ruthless terrorist gang dedicated to murder, kidnapping, extortion and arms and drug smuggling while cynically demanding independence for the Basque Country in northern Spain."
7708,"Throughout the world, there are hundreds of independently-owned toy stores, each one as unique and endearing as the people that own them."
7709,"When Anna Wyncomb is introduced to an underground, all-female fight club in order to turn the mess of her life around, she discovers she is much more personally connected to the history of the club than she could ever imagine."
7710,A young boy in a small North Dakota town befriends a potentially dangerous fugitive.
7711,"Share the laughter, the tears, the gasps, and the salty language that you've come to know and love. Stare into the abyss one more time until the next time and see what makes David Cross one of the top 400 comics in America today."
7712,"A disgraced doctor and his family are held hostage at their home by criminals on the run, when a robbery-gone-awry requires them to seek immediate medical attention."
7713,"Through the curious mind of host Kal Pen, see firsthand all the surprising ways the economy interconnects and impacts the lives of people all over the planet."
7714,"A Jewish girl, Esther, forced to conceal her true identity by pretending to be boy on a Nazi-Norwegian farm, plots her escape. The challenge of keeping her true identity a secret leads to a series of choices and consequences."
7715,"When Jane is rejected by life, she spirals into a chaotic, schizophrenic world where love and normality collide with humorous consequences."
7716,"Alan is a stylish tailor with moves as sharp as his suits. He has spent years searching tirelessly for his missing son Michael who stormed out over a game of Scrabble. With a body to identify and his family torn apart, Alan must repair the relationship with his youngest son and solve the mystery of an online player who he thinks could be Michael, so he can finally move on and reunite his family."
7717,A military veteran hunts the men who kidnapped her son.
7718,"When a girl goes missing, a woman with a mysterious past tracks down the people responsible."
7719,"A young boy named Dallas goes on a search for his pool-hustling father after he abandons their family. Dallas is determined to bring his father home when he meets Joe Haley, a drifter wrestling with a past he'd rather forget, who feels responsible for Dallas' safety and reluctantly takes him in."
7720,"When a former detective learns of the murder of his estranged son, he ventures back to the darkened streets he once knew so well. Armed, dangerous and with nothing to lose, he must take on the ruthless local mob in his mission for revenge."
7721,Wine and War is a documentary about the history of winemaking in Lebanon and the resilience of the Lebanese entrepreneurial spirit seen through the lens of war and instability.
7722,A woman's inheritance leads her to Eastern Europe to uncover a dark and disturbing family secret.
7723,"Laura and Ryan are perfect for each other: they both love Meryl Streep, have been totally destroyed by previous relationships, and have no idea what they are supposed to do tonight. They also both know that they'll have to pretend to be completely different to how they've ever been previously, in the hope of getting it right this time. How bad can a second date really go and what is there to lose? Ryan and Laura are about to find out."
7724,"English football's 'fallen giant', Leeds United, starts a journey to win promotion back to the Premier League. New owner Andrea Radrizzani has recruited a world-class head coach, Marcelo Bielsa, to lead the team back to the promised land."
7725,"Rio de Janeiro, Brazil, 1950. In the conservative home of the Gusmão family, Eurídice and Guida are two inseparable sisters who support each other. While Guida can share with her younger sister the details of her romantic adventures, Eurídice finds in her older sister the encouragement she needs to pursue her dream of becoming a professional pianist."
7726,A coming-of-age story based on the lives of street rappers in Mumbai.
7727,"In 1897, an army of 21 Sikhs battles 10,000 Afghans to prevent the Saragarhi Fort from being taken down."
7728,"Life in Berlin in 1945 before, during and after the battle of Berlin seen through the eyes of those who were there at the time from common Berliners to Allied troops."
7729,"When a riot breaks out in Milwaukee, America's most segregated city, medical transport driver Vic is torn between his promise to get a group of elderly Russians to a funeral and his desire to help Tracy, a young black woman with ALS."
7730,"Suspecting his wife of infidelity, Jerry is persuaded by his best friend to accompany him to a brothel to sample ‘The Special’, which proves to be a lifechanging experience in more ways than one. Because every pleasure has its price..."
7731,"James May is not a chef. But that’s the whole point: you don’t need to be a brilliant cook to make delicious food. Transporting us to the Far East, the Med, and the local pub – all from the comfort of a home economist’s kitchen – he’ll knock up delicious recipes that you can actually make yourself, with ingredients you can actually buy. And all without the usual television cooking format trickery."
7732,"A downtrodden man experiences an ethical crisis and travels back to his hometown in rural Italy to recalibrate his moral compass. There he finds new purpose in reviving his grandfather's old vineyard, offering the small town of Acerenza a sustainable future, and reconnecting with his estranged family in the process."
7733,"After Abigail, a single mom of two, becomes pregnant following a one-night stand with Ben, the unlikely pair try to make a go of it."
7734,"Two physicists discover psychic abilities are real only to have their experiments at Stanford co-opted by the CIA and their research silenced by the demands of secrecy. Yet, as both these 'remote viewers' and our audience learn, the 'more you hide something, the more it shines like a beacon in psychic space and this ancient truth can no longer be suppressed.' The true story of Russell Targ and America's cold war psychic spies, disclosed and declassified for the first time, with evidence presented by a Nobel Laureate, an Apollo Astronaut, and the military and scientific community that has been suppressed for nearly 30 years, now able to speak for the first time."
7735,"When a bullied Indian teen forges her mother's signature to test out of high school, she discovers she must pay a test fee by the 7th period, leaving her no choice but to turn to the students she desperately wants to leave."
7736,What happens when you are torn between staying and moving on?
7737,"Rishi Kumar is a billionaire and the CEO of Origins, someone who has always strived for the success he now owns. His friend Ravi needs help, how will he come through?"
7738,"When a Japanese pilot crash-lands on the tiny remote Hawaiian island of Ni'ihau, he is met with courtesy and traditional Hawaiian hospitality from the locals - until they discover he was part of the recent attack on Pearl Harbor."
7739,"Joy and Hope McGregor run Two Sisters Ranch upstate New York with their dad and longtime friend. When a handsome stranger comes to town to find inspiration to get over writer's block, he learns how special Christmas on the ranch really is."
7740,"In tiny Colewell, Pennsylvania, the residents gather at the post office for mail and gossip, while the days pass quiet and serene. That is until news comes that the office is to close, and beloved clerk Nora (a marvelous Karen Allen) is left to fight for her job and reflect on the choices she has made that kept her in Colewell for so many years. Touching, with a hint of melancholy, Tom Quinn’s eloquent film is an ode to small-town life and the quiet emotions that come with nostalgia and memories of the past. As fears arise around her future and her past becomes ever more present, Nora states, “I don’t want to be lonely,” but what that means is elusive. Colewell gorgeously captures rural America, while giving space to the beauty of time passing and reflecting on what determines a life well lived."
7741,Filmmaker Jason Baffa examines the personal bonds and dynamic relationships that form between golfers and caddies.
7742,A gang of teenage boys stalk the streets of Naples armed with hand guns and AK-47s to do their mob bosses' bidding – until they decide to be the bosses themselves.
7743,"Extreme sport lover Zhou Feng got involved in an international illegal trade by accident. So he had to follow an international special agent Bruce to Budapest. Together with a crappy police officer Miao Yan, a non-professional scientist Ding Shan and an unemployed doctor LV, they became an amateur unit. In company with the senior agent Bruce, these four rookies started a fight with the terrorists that was both thrilling and hilarious."
7744,"During a very dry summer in an isolated community far from the city. Sofia, Clara and Lucas face their first loves and fears, while preparing the New Year's party, without knowing that nature threatens them."
7745,"A documentary series that captures the emotions, stories, passions and triumphs surrounding the international sport of football."
7746,"Goodbye and good riddance, 2020. In this hilarious, absurd, life-affirming comedy special, seven outspoken female comedians lay to rest the year that never seemed to end.."
7747,"Mila's dad runs the only magic pet store in the city - a fantastical place where you can find all sorts of cute and quirky pets who each have their own unique magic powers, and he has gifted Mila the most magic pet of all, Morphle."
7748,"Japan’s government has enacted federal restrictions on superhero activity through special ID cards developed by tech conglomerate, Vector, for monitoring and tracking. Soma Kusanagi, a part-time superhero and full-time social miscreant, has become a tester for Vector’s latest model of super suit. With this technology, Soma can transform into the Variable Combat Soldier, Strega, the latest in villain-bludgeoning power!  In the midst of his deviant escapades, a shadowy plot to turn the whole of society into monsters is taking shape! Unless his libido isn’t kept in check, Soma and new partner, Sayuri, must uncover and stop this mysterious plot before it’s too late!"
7749,"In 2007, four teenagers from disparate backgrounds are voted ""Most Likely To Succeed"" during their senior year of high school. Filmed over a ten-year period and directed by award-winning photographer Pamela Littky, we watch as they each chart their own version of success and navigate the unpredictability of American life in the 21st Century."
7750,"When a pharmaceutical company's illegal experiments inadvertently create a zombie, the strange Park family finds it and tries to profit from it."
7751,"Shadowed by a haunting presence in the redwood forest, five young hikers discover an abandoned goldmine dating back to the Gold Rush and descend into madness and greed as the pursuit of easy riches consumes them."
7752,"Ex heroin junkie, Daniel Léger, gets involved in a drug deal with the wrong people for the wrong reasons. When the deal goes sour, Daniel gets thrown into a Thai prison and slapped with a 100-year sentence. While he tries to survive his Bangkok incarceration, the news of his conviction captures the attention of Globe and Mail journalist Victor Malarek, who decides to go after the shady undercover cops responsible for wrongly accusing Daniel."
7753,"Claire is a beautiful young woman who works at her late father’s hotel, that is now managed by her evil stepmother Maud. Claire unwittingly sparks uncontrollable jealousy in Maud, whose young lover has fallen in love with Claire. Maud decides to get rid of Claire who finds shelter in a farm where she’s allowed to break free from her strict upbringing through encounters with seven “princes.”"
7754,"Set during the Meiji reformation era in a small village in Kyushu, Japan. The story revolves around a young boy named Izana and a blind woman named Takiri, the two encounter the large monster Nebula who since ancient times was feared as the god of lake Amenosagiri. Theme of the film focuses on the Japanese concept of light and darkness, as told by puppetry and model miniaturization of the films’ world with practical special effects by Keizo Murase."
7755,"Each episode, Pro driver Shane Lynch sets two teams of mechanics a task of epic proportions... to build a one-off vehicle from scrapyard junk that can out-perform his top-of-the range supercar. During four manic days, the teams are expertly guided by head-engineer Ralph Hosier, before they hit the racetrack aiming to topple Shane’s four wheeled icon. From acceleration to braking, handling to grip, the series gets under the hood of supercar engineering."
7756,A larger-than-life working-class sitcom that follows the trials and tribulations of 'geezer diva' Gary King and his childhood sweetheart Terri as they aspire to achieve moderate material success in competitive suburbia.
7757,"Black Hawk Down: The Untold Story is a documentary film on the heroic efforts of the soldiers from the 2nd Battalion 14th Infantry Regiment, 10th Mountain Division (2-14). These men demonstrated extraordinary courage, skill, and discipline as they fought their way into a “baited ambush” to rescue the special operations forces pinned down at the crash site of Super Six-One while also attempting a rescue at the crash site of Super Six-Four. Two soldiers from the 2-14 were killed and eighteen wounded in what many have described as the most ferocious urban combat since the Battle for Huế during the Tet Offensive in 1968."
7758,"A 6-year old girl is kidnapped by a mysterious masked man, who demands an unusual ransom. To save his daughter, Dr. Avinash Sabharwal must kill someone! Meanwhile, Kabir Sawant's journey continues in the hostile environment of the Delhi Crime branch. Lies, deceit and mind games begin when Kabir is given charge of the investigation, and meets Avinash."
7759,"In the midst of quarantine in 2020, a girl starts to experience supernatural events that will take her to the limit."
7760,"Through interviews with both victims and instigators, Nanfu Wang, a first-time mother, breaks open decades of silence on a vast, unprecedented social experiment that shaped — and destroyed — countless lives in China."
7761,A group of kids on holiday in Cornwall meet a magical creature on the beach with the power to grant wishes.
7762,"A mythical account of the life of Buddy Bolden, the first Cornet King of New Orleans."
7763,"Despite coming from a long line of career criminals, Hana pursues a quiet life as a librarian. Until she falls in love with a cop on a mission to bring the family down."
7764,"When his daughter is kidnapped in the English channel waters, a single fish in the pacific must make the journey and track down his kidnapped daughter before it is too late"
